Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,207,10855032B,"8-1/4""M 1050 FITTING 8-1/4M"
Sanremo,208,10002614,VAPORE SX ROMA 2-3GR LEFT STEAM TUBE 2-3GR
Sanremo,209,10002618,USCITA ACQUA ROMA 2-3GR DRAIN WATER TUBE 2-3GR
Sanremo,210,10002616,VAPORE DX ROMA 2-3GR RIGHT STEAM TUBE 2-3GR
Sanremo,211a,10002610,CARICO CAL.ROMA 2GR BOILER LOADED TUBE 2GR
Sanremo,211b,10002960,CARICO CAL.ROMA 3GR BOILER LOADED TUBE 2GR
Sanremo,212,10002622,ALIMENT.2°GR RM 2GR 3°GR RM3GR SED EXCHANGED WATER 2°-3°GR 3GR SED
Sanremo,213,10002516,SCAMB.SUP.SX TCS ROMA LEFT SUPERIOR EXCHARGED TUBE TCS
Sanremo,214,10002514A,SCAMB.INF.SX TCS ROMA LEFT LOWER  EXCHARGED TUBE TCS
Sanremo,215,10002510A,SCAMB.SUP.DX TCS ROMA RIGHT SUPERIOR  EXCHARGED TUBE TCS
Sanremo,216,10002512A,SCAMB.INF.DX TCS ROMA RIGHT LOWER  EXCHARGED TUBE TCS
Sanremo,217,10002620,ALIMENT.1°GR RM 2GR 2°GR RM 3GR SED EXCHANGED WATER 1°GR 2GR 2°GR 3GR SED
Sanremo,218a,10002612,SCARICO CAL.ROMA 2GR BOILER DRAIN TUBE 2GR
Sanremo,218b,10002962,SCARICO CAL.ROMA 3GR BOILER DRAIN TUBE 3GR
Sanremo,219,10002626,PONTE SCAMB. ROMA 2-3GR EXCHABGED FLOW METER TUBE 2-3GR
Sanremo,220a,10002498,PONTE 1-2° VOL.RM 2GR SED 1°-2° FLOW METER TUBE  2GR SED
Sanremo,220b,10002968,PONTE 1-2° VOL.RM 3GR SED 1°-2° FLOW METER TUBE  3GR SED
Sanremo,221,10002624A,ALIMEN.VOLUM.ROMA 2-3GR SED FOLW METER  WATER INLET TUBE 2-3GR SED
Sanremo,Spare,parts,Ed. 07/200917
Sanremo,222,10112173,DE LUXE  X RELE' DE LUXE ELECTRONIC BOARD FOR RELAY
Sanremo,223,10112218,RELE' STATICO STATIC RELAY COVER
Sanremo,224,10805114,TC+ SW M5X12 ZN SCREW TC+ SW M5X12 ZN
Sanremo,225,10112216A,STATICO STATIC RELAY
Sanremo,226,10112044,GRANDE BOG DISPLAY
Sanremo,227,10805054,TC+ M3X10 A2 SCREW TC+ M3X10 A2
Sanremo,228,10031040,DISPLAY GRANDE BIG DISPLAY GLASS
Sanremo,229,10554012A,SPOT LED SPOT LED LAMP
Sanremo,230,10112166,ROMA 6 TASTI SED 6 KEY PUSHBUTTON 
Sanremo,231,10112168,PIDBULL ROMA PIDBULL PUSHBUTTON 
Sanremo,232,10031014,POST.DISPLAY DISPLAY REAR BOX
Sanremo,233,10805128,TC+ M3X30 A2 SCREW TC+ M3X30 A2
Sanremo,234a,10112079,PIN TO PIN 800mm PIN TO PIN CABLE 800mm
Sanremo,234b,10112067,PIN TO PIN 1100mm PIN TO PIN CABLE 1100mm
